Company,Dividend Declared (Rs/Share),Dividend Payout %,CMP,FY,Announcement Date,Market Cap,Years Since Listing,Source
Aegis Vopak Terminals Ltd,0.2,8.1,302.0,FY2027,2026-07-10,"Rs 33,461 Cr",1.1,"BSE Corporate Actions — scrip 544407, ex-date 2026-07-10 (https://www.bseindia.com/corporates/corporate_act.aspx)"
JSW Cement Ltd,0.5,N/A,134.75,FY2027,2026-07-10,"Rs 18,371 Cr",0.9,"BSE Corporate Actions — scrip 544480, ex-date 2026-07-10 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Hannah Joseph Hospital Ltd,2.0,74.9,111.2,FY2027,2026-07-08,N/A,0.4,"BSE Corporate Actions — scrip 544687, ex-date 2026-07-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
DCM Shriram International Ltd,0.4,N/A,79.0,FY2027,2026-07-06,Rs 687 Cr,0.4,"BSE Corporate Actions — scrip 544702, ex-date 2026-07-06 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Akums Drugs and Pharmaceuticals Ltd,2.0,28.2,676.0,FY2027,2026-07-03,"Rs 10,640 Cr",1.9,"BSE Corporate Actions — scrip 544222, ex-date 2026-07-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Raymond Realty Ltd,2.0,5.1,663.0,FY2027,2026-07-03,"Rs 4,414 Cr",1.0,"BSE Corporate Actions — scrip 544420, ex-date 2026-07-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
SKF India (Industrial) Ltd,10.0,N/A,2712.0,FY2027,2026-07-03,"Rs 13,408 Cr",0.6,"BSE Corporate Actions — scrip 544572, ex-date 2026-07-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
DCM Shriram Fine Chemicals Ltd,0.4,N/A,26.93,FY2027,2026-07-01,Rs 234 Cr,0.4,"BSE Corporate Actions — scrip 544703, ex-date 2026-07-01 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Raymond Lifestyle Ltd,1.0,11.8,707.05,FY2027,2026-06-29,"Rs 4,308 Cr",1.8,"BSE Corporate Actions — scrip 544240, ex-date 2026-06-29 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Anthem Biosciences Ltd,2.0,18.1,790.5,FY2027,2026-06-25,"Rs 44,521 Cr",0.9,"BSE Corporate Actions — scrip 544449, ex-date 2026-06-25 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Shankara Buildpro Ltd,5.0,9.5,1209.25,FY2027,2026-06-24,"Rs 2,932 Cr",0.5,"BSE Corporate Actions — scrip 544517, ex-date 2026-06-24 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Anand Rathi Share And Stock Brokers Ltd,5.0,23.9,512.05,FY2027,2026-06-23,"Rs 3,229 Cr",0.7,"BSE Corporate Actions — scrip 544530, ex-date 2026-06-23 (https://www.bseindia.com/corporates/corporate_act.aspx)"
AWL Agri Business Ltd,1.0,13.2,187.6,FY2027,2026-06-19,"Rs 24,421 Cr",4.4,"BSE Corporate Actions — scrip 543458, ex-date 2026-06-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Corona Remedies Ltd,10.0,N/A,2101.9,FY2027,2026-06-19,"Rs 12,855 Cr",0.5,"BSE Corporate Actions — scrip 544644, ex-date 2026-06-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Monika Alcobev Ltd,1.0,6.7,210.0,FY2027,2026-06-18,N/A,0.9,"BSE Corporate Actions — scrip 544451, ex-date 2026-06-18 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Piramal Finance Ltd,11.0,14.5,2037.0,FY2027,2026-06-12,"Rs 46,174 Cr",0.6,"BSE Corporate Actions — scrip 544597, ex-date 2026-06-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Unified Data Tech Solutions Ltd,5.5,27.1,358.0,FY2027,2026-06-08,N/A,1.0,"BSE Corporate Actions — scrip 544406, ex-date 2026-06-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Monarch Surveyors and Engineering Consultants Ltd,1.6,4.0,226.2,FY2027,2026-06-03,N/A,0.8,"BSE Corporate Actions — scrip 544453, ex-date 2026-06-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Workmates Core2Cloud Solution Ltd,2.0,15.8,334.1,FY2027,2026-05-22,N/A,0.5,"BSE Corporate Actions — scrip 544610, ex-date 2026-05-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ITC Hotels Ltd,1.0,24.3,165.55,FY2027,2026-05-21,"Rs 34,557 Cr",1.3,"BSE Corporate Actions — scrip 544325, ex-date 2026-05-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Indian Renewable Energy Development Agency Ltd,0.6,9.0,120.3,FY2027,2026-04-02,"Rs 33,795 Cr",2.3,"BSE Corporate Actions — scrip 544026, ex-date 2026-04-02 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Euro Pratik Sales Ltd,0.2,4.0,313.6,FY2026,2026-03-27,"Rs 3,205 Cr",0.5,"BSE Corporate Actions — scrip 544519, ex-date 2026-03-27 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Eighty Jewellers Ltd,0.1,1.0,44.1,FY2026,2026-03-06,N/A,3.9,"BSE Corporate Actions — scrip 543518, ex-date 2026-03-06 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Shreeji Shipping Global Ltd,1.0,10.4,633.95,FY2026,2026-02-27,"Rs 10,328 Cr",0.5,"BSE Corporate Actions — scrip 544490, ex-date 2026-02-27 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Austere Systems Ltd,0.2,4.2,41.5,FY2026,2026-02-11,N/A,0.4,"BSE Corporate Actions — scrip 544505, ex-date 2026-02-11 (https://www.bseindia.com/corporates/corporate_act.aspx)"
BMW Ventures Ltd,1.5,34.7,59.0,FY2026,2026-02-10,Rs 512 Cr,0.4,"BSE Corporate Actions — scrip 544543, ex-date 2026-02-10 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Crizac Ltd,8.0,83.9,195.0,FY2026,2026-02-04,"Rs 3,412 Cr",0.6,"BSE Corporate Actions — scrip 544439, ex-date 2026-02-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Innova Captab Ltd,2.0,13.7,975.0,FY2026,2026-01-30,"Rs 5,579 Cr",2.1,"BSE Corporate Actions — scrip 544067, ex-date 2026-01-30 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Siemens Energy India Ltd,4.0,10.9,3275.0,FY2026,2026-01-30,"Rs 1,16,629 Cr",0.6,"BSE Corporate Actions — scrip 544390, ex-date 2026-01-30 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ICICI Prudential Asset Management Company Ltd,14.85,N/A,3144.0,FY2026,2026-01-21,"Rs 1,55,395 Cr",0.1,"BSE Corporate Actions — scrip 544658, ex-date 2026-01-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Jaro Institute of Technology Management and Research Ltd,2.0,8.4,479.0,FY2026,2026-01-16,"Rs 1,067 Cr",0.3,"BSE Corporate Actions — scrip 544534, ex-date 2026-01-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Canara Robeco Asset Management Company Ltd,1.5,13.7,262.0,FY2026,2025-12-22,"Rs 5,225 Cr",0.2,"BSE Corporate Actions — scrip 544580, ex-date 2025-12-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Career Point Edutech Ltd,2.5,20.3,195.6,FY2026,2025-11-21,Rs 356 Cr,0.2,"BSE Corporate Actions — scrip 544499, ex-date 2025-11-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sayaji Hotels (Indore) Ltd,0.8,3.0,1330.0,FY2026,2025-11-20,N/A,1.8,"BSE Corporate Actions — scrip 544080, ex-date 2025-11-20 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Capitalnumbers Infotech Ltd,1.0,9.5,87.55,FY2026,2025-11-19,N/A,0.8,"BSE Corporate Actions — scrip 544343, ex-date 2025-11-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Ganesh Consumer Products Ltd,2.5,23.8,170.0,FY2026,2025-11-14,Rs 687 Cr,0.1,"BSE Corporate Actions — scrip 544528, ex-date 2025-11-14 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sagility Ltd,0.05,7.0,43.28,FY2026,2025-11-12,"Rs 20,261 Cr",1.0,"BSE Corporate Actions — scrip 544282, ex-date 2025-11-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
HDB Financial Services Ltd,2.0,6.0,686.55,FY2026,2025-10-24,"Rs 57,001 Cr",0.3,"BSE Corporate Actions — scrip 544429, ex-date 2025-10-24 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Waaree Energies Ltd,2.0,1.5,2740.75,FY2026,2025-10-24,"Rs 78,838 Cr",1.0,"BSE Corporate Actions — scrip 544277, ex-date 2025-10-24 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Cargotrans Maritime Ltd,0.5,10.5,84.05,FY2026,2025-09-23,N/A,3.0,"BSE Corporate Actions — scrip 543618, ex-date 2025-09-23 (https://www.bseindia.com/corporates/corporate_act.aspx)"
New Swan Multitech Ltd,0.5,9.9,42.2,FY2026,2025-09-23,N/A,1.7,"BSE Corporate Actions — scrip 544082, ex-date 2025-09-23 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Aveer Foods Ltd,0.25,3.1,613.9,FY2026,2025-09-22,N/A,2.7,"BSE Corporate Actions — scrip 543737, ex-date 2025-09-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Craftroot Retail Ltd,0.05,7.5,1.0,FY2026,2025-09-19,N/A,-0.8,"BSE Corporate Actions — scrip 526349, ex-date 2025-09-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Deepak Builders and Engineers India Ltd,1.0,117.6,7.46,FY2026,2025-09-19,Rs 347 Cr,0.9,"BSE Corporate Actions — scrip 544276, ex-date 2025-09-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Apeejay Surrendra Park Hotels Ltd,0.5,15.2,122.15,FY2026,2025-09-19,"Rs 2,606 Cr",1.6,"BSE Corporate Actions — scrip 544111, ex-date 2025-09-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
National Securities Depository Ltd,2.0,11.1,817.8,FY2026,2025-09-19,N/A,0.1,"BSE Corporate Actions — scrip 544467, ex-date 2025-09-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Parmeshwar Metal Ltd,0.75,3.5,193.0,FY2026,2025-09-19,N/A,0.7,"BSE Corporate Actions — scrip 544330, ex-date 2025-09-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ITCONS E-Solutions Ltd,0.15,2.6,275.35,FY2026,2025-09-18,N/A,2.5,"BSE Corporate Actions — scrip 543806, ex-date 2025-09-18 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Quality Power Electrical Equipments Ltd,1.0,14.1,1100.0,FY2026,2025-09-18,"Rs 8,519 Cr",0.6,"BSE Corporate Actions — scrip 544367, ex-date 2025-09-18 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Rossell Techsys Ltd,0.2,3.6,973.85,FY2026,2025-09-17,"Rs 3,671 Cr",0.8,"BSE Corporate Actions — scrip 544294, ex-date 2025-09-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Insolation Energy Ltd,0.1,N/A,112.9,FY2026,2025-09-16,"Rs 2,489 Cr",2.9,"BSE Corporate Actions — scrip 543620, ex-date 2025-09-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sodhani Academy of Fintech Enablers Ltd,0.5,8.2,149.8,FY2026,2025-09-16,N/A,1.0,"BSE Corporate Actions — scrip 544257, ex-date 2025-09-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
